Port Name,Latitude,Longitude,Country,Country Raw
Notre-Dame,48.851834,2.3500556,France,
Lepsøya,62.6168039,6.2208352,Norway,
Port Saint-Sauveur,43.5952482,1.4562994,France,
Torfkähne Adolphsdorfer Torfschiffer,53.2277557,8.8882024,Deutschland,
Museumhaven Veilinghaven,52.0827346,5.107086,The Netherlands,
Jachthaven Willemdok,51.2287714,4.4085424,Belgium,
Porozina,45.131139,14.2853699,Croatia,
Brestova,45.1444467,14.2237346,Croatia,
Fiskehamnen,57.6361473,18.2825566,Sweden,
Vieux-Port,43.2945804,5.3692811,France,
Puerto Eldorado,-26.4089479,-54.6949779,Argentina,
Puerto Errecaborde,-25.8964354,-54.6139831,Argentina,
Puerto Quequén,-38.5756457,-58.7088792,Argentina,
Puerto San Lucas,-28.1595532,-55.5557547,Argentina,
Puerto Segundo,-25.9835904,-54.6667348,Argentina,
Port Racine,49.7121329,-1.8965808,France,
Port de plaisance de Sarreguemines,49.1111424,7.0719072,France,
Puerto Marítimo de Guayaquil,-2.2816396,-79.9082802,Ecuador,
Ventnor Haven,50.5926119,-1.2048366,United Kingdom,
Port of Joensuu,62.5810635,29.7570783,Finland,
Gare Maritime d'Arenc,43.3122587,5.3641653,France,
Baltrum,53.7206632,7.3633895,Deutschland,
Porto di Palermo,38.1289041,13.3698787,Italia,
Yacht- und Ruder-Club Attendorn,51.1073273,7.8978083,Deutschland,
Yachthafen Vitte-Lange Ort,54.5718008,13.1103367,Deutschland,
Netsel Marina Marmaris,36.8514442,28.2790465,Türkiye,
Port d'Arlan,48.4581743,-5.0504907,France,
Donauhafen Krems,48.4042603,15.6447976,Austria,
Tanga Port,-5.0649152,39.1052226,Tanzania,
Halte Nautique de Beaulieu,47.5430266,2.8214994,France,
Juist,53.6734628,6.9965396,Deutschland,
Alta Båthavn,69.9711534,23.2399784,Norway,
Fisherrow Harbour,55.9458169,-3.0675434,United Kingdom,
Susak,44.512533,14.3113232,Croatia,
Marina,36.8515986,27.0764725,Greece,
山下公園,35.4462338,139.6514609,Japan,
赤レンガ倉庫,35.452463,139.6450992,Japan,
みなとみらい ぷかり桟橋,35.4580126,139.6387627,Japan,
Ribnitz Harbour,-2.6663074,150.5991447,Papua News,
Dunquin Harbour,52.1239169,-10.4607777,Ireland,
Benoa Port,-8.742468,115.2094313,Indonesia,
Videbergs hamn,57.2496764,12.1111545,Sweden,
Enge,47.3600349,8.5365957,Schweiz,
Hafen Lauterbach,54.3414338,13.5016043,Deutschland,
Fischereihafen Freest,54.1375345,13.7289587,Deutschland,
Meldorfer Seglerverein,54.0914665,8.9558742,Deutschland,
Halte nautique d'Amiens,49.8955615,2.3073075,France,
North Slip,41.7408685,-87.5347676,United States,
Halte fluviale de Meaux,48.9568001,2.8815615,France,
Orcutt Harbor,44.3402778,-68.7563889,United States,
Scituate Harbor,42.2028793,-70.7203183,United States,
Carrabelle Harbor,29.8507646,-84.6660014,United States,
Hollywood Harbor,26.0805167,-80.1147242,United States,
Berkeley Yacht Harbor,37.8660373,-122.3146922,United States,
East Basin,33.4591946,-117.696163,United States,
West Basin,33.4603057,-117.7017187,United States,
Söderhamnen,59.4017165,18.3541056,Sweden,
Conneaut Harbor,41.9750552,-80.5534078,United States,
Portsmouth Harbor,43.0770333,-70.7128301,United States,
Sportboothafen Lindaunis,54.5861235,9.8225921,Deutschland,
লালকুঠি ঘাট,23.7039733,90.4121418,Bangladesh,
Faoug,46.9113756,7.0760147,Schweiz,
Port Communal de Reth,46.3230384,-0.7143011,France,
Yachthafen Mönkebude,53.7732493,13.9701247,Deutschland,
Porto Conceição,-17.1428021,-57.3590733,Brazil,
Porto Três Bocas,-17.862922,-57.487235,Brazil,
My Marina Yacht Club,36.8240077,28.5656482,Türkiye,
Marina Horn,54.0580194,13.7834512,Deutschland,
Behördenhafen Krems,48.4059956,15.6143222,Austria,
Ruden Hafen,54.2045384,13.7725672,Deutschland,
Nothafen Greifswalder Oie,54.2442189,13.9070652,Deutschland,
Gedser Lystbådehavn,54.581018,11.922441,Denmark,
Kommunalhafen Vitte,54.5686297,13.1087236,Deutschland,
Yachthafen Horumersiel,53.6840623,8.0243016,Deutschland,
Fährhafen Harlesiel,53.7091699,7.8109085,Deutschland,
Hafen Volkswagen Werk Wolfsburg,52.432684,10.7888437,Deutschland,
König Ludwig,51.5665253,7.2555779,Deutschland,
Stummhafen,51.6134129,7.4591117,Deutschland,
Wasserwanderrastplatz Preußenhafen in Lünen,51.5968076,7.5353401,Deutschland,
Hafen Lüneburg,53.241196,10.4840269,Deutschland,
Sørlandsvågen,67.6579311,12.7048745,Norway,
Røstnesvågen,67.6536825,12.7207085,Norway,
Fyruddens hamn,58.1916399,16.8517839,Sweden,
Formia,41.2568273,13.6115338,Italia,
Cannigione,41.1070182,9.4443553,Italia,
Borsighafen,52.5816082,13.2766019,Deutschland,
Gedser,54.5712572,11.9266579,Denmark,
Lidköping,58.5096664,13.1666056,Sweden,
